AGI,Description,table.logConc,table.logFC,table.PValue,table.FDR,found in ATH1,Kozuka_2010_leaf_blade,Kozuka_2010_petiole
AT1G45145,"encodes a cytosolic thioredoxin that reduces disulfide bridges of target proteins by the reversible formation of a disulfide bridge between two neighboring Cys residues present in the active site. Thioredoxins have been found to regulate a variety of biological reactions in prokaryotic and eukaryotic cells.thioredoxin H-type 5 (TRX5); FUNCTIONS IN: oxidoreductase activity, acting on sulfur group of donors, disulfide as acceptor; INVOLVED IN: response to oxidative stress, response to cadmium ion, defense response to fungus, response to microbial phytotoxin; LOCATED IN: cytosol, plasma membrane; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Thioredoxin fold (InterPro:IPR012335), Thioredoxin, core (InterPro:IPR015467), Thioredoxin domain (InterPro:IPR013766), Thioredoxin, conserved site (InterPro:IPR017937), Thioredoxin-like subdomain (InterPro:IPR006662), Thioredoxin-like (InterPro:IPR017936), Thioredoxin-like fold (InterPro:IPR012336); BEST Arabidopsis thaliana protein match is: thioredoxin 3 (TAIR:AT5G42980.1); Has 18724 Blast hits to 18448 proteins in 2947 species: Archae - 261; Bacteria - 10598; Metazoa - 1825; Fungi - 834; Plants - 1766; Viruses - 10; Other Eukaryotes - 3430 (source: NCBI BLink).",16.72,-2.06,1.26819E-10,5.46248E-08,260943_at,#N/A,#N/A
AT1G17380,"jasmonate-zim-domain protein 5 (JAZ5); CONTAINS InterPro DOMAIN/s: Tify (InterPro:IPR010399), CCT domain-like (InterPro:IPR018467); BEST Arabidopsis thaliana protein match is: jasmonate-zim-domain protein 6 (TAIR:AT1G72450.1); Has 301 Blast hits to 296 proteins in 28 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 301; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).",18.60,-2.38,2.88679E-06,0.000580762,261033_at,#N/A,#N/A
AT4G17470,"alpha/beta-Hydrolases superfamily protein; FUNCTIONS IN: palmitoyl-(protein) hydrolase activity; INVOLVED IN: protein modification process; LOCATED IN: endomembrane system; EXPRESSED IN: 11 plant structures; EXPRESSED DURING: LP.06 six leaves visible, LP.04 four leaves visible, C globular stage, petal differentiation and expansion stage; CONTAINS InterPro DOMAIN/s: Palmitoyl protein thioesterase (InterPro:IPR002472); BEST Arabidopsis thaliana protein match is: alpha/beta-Hydrolases superfamily protein (TAIR:AT4G17480.1); Has 628 Blast hits to 624 proteins in 157 species: Archae - 0; Bacteria - 0; Metazoa - 330; Fungi - 94; Plants - 142; Viruses - 0; Other Eukaryotes - 62 (source: NCBI BLink).",15.96,-2.44,0,1.4E-14,245422_at,#N/A,#N/A
AT2G39330,jacalin-related lectin 23 (JAL23); FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: vacuole; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Mannose-binding lectin (InterPro:IPR001229); BEST Arabidopsis thaliana protein match is: jacalin-related lectin 22 (TAIR:AT2G39310.3); Has 1977 Blast hits to 736 proteins in 44 species: Archae - 0; Bacteria - 9; Metazoa - 0; Fungi - 4; Plants - 1953; Viruses - 0; Other Eukaryotes - 11 (source: NCBI BLink).,17.70,-2.67,1.05286E-10,4.65433E-08,266989_at,#N/A,#N/A
AT5G05600,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein; FUNCTIONS IN: oxidoreductase activity, iron ion binding; INVOLVED IN: response to salt stress, response to karrikin; EXPRESSED IN: 15 plant structures; EXPRESSED DURING: 9 growth stages; CONTAINS InterPro DOMAIN/s: Isopenicillin N synthase (InterPro:IPR002283), Oxoglutarate/iron-dependent oxygenase (InterPro:IPR005123); BEST Arabidopsis thaliana protein match is: 2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein (TAIR:AT3G11180.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).",18.43,-2.67,9.91779E-08,2.70901E-05,250793_at,#N/A,#N/A
AT1G74930,"encodes a member of the DREB subfamily A-5 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 15 members in this subfamily including RAP2.1, RAP2.9 and RAP2.10.ORA47; CONTAINS InterPro DOMAIN/s: DNA-binding, integrase-type (InterPro:IPR016177), Pathogenesis-related transcriptional factor/ERF, DNA-binding (InterPro:IPR001471); BEST Arabidopsis thaliana protein match is: Integrase-type DNA-binding superfamily protein (TAIR:AT1G19210.1); Has 5510 Blast hits to 5399 proteins in 239 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 5503; Viruses - 0; Other Eukaryotes - 7 (source: NCBI BLink).",18.11,-2.77,6.14709E-10,2.40144E-07,262211_at,#N/A,#N/A
AT5G24770,"Has acid phosphatase activity dependent on the presence of divalent cations (Mg2+, Co2+, Zn2+, Mn2+) and anti-insect activity. Insects fed with the protein show a retarded development. Induced in response to abscisic acid, jasmonic acid, salt, water deficiency and wounding.vegetative storage protein 2 (VSP2); FUNCTIONS IN: acid phosphatase activity; INVOLVED IN: in 8 processes; LOCATED IN: cytosolic ribosome, vacuole; EXPRESSED IN: fruit, flower, leaf; EXPRESSED DURING: seedling growth, 4 leaf senescence stage; CONTAINS InterPro DOMAIN/s: Acid phosphatase (Class B) (InterPro:IPR005519), Vegetative storage protein/acid phosphatase (InterPro:IPR014403), Acid phosphatase, plant (InterPro:IPR010028); BEST Arabidopsis thaliana protein match is: vegetative storage protein 1 (TAIR:AT5G24780.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).",13.84,-2.87,0,0,,#N/A,#N/A
AT5G24780,"encodes an acid phosphatase similar to soybean vegetative storage proteins. Gene expression is induced by wounding and jasmonic acid.vegetative storage protein 1 (VSP1); FUNCTIONS IN: transcription factor binding, acid phosphatase activity; INVOLVED IN: response to jasmonic acid stimulus, response to wounding, defense response; LOCATED IN: vacuole; EXPRESSED IN: fruit, gynoecium, valve; CONTAINS InterPro DOMAIN/s: Acid phosphatase (Class B) (InterPro:IPR005519), Vegetative storage protein/acid phosphatase (InterPro:IPR014403), Acid phosphatase, plant (InterPro:IPR010028); BEST Arabidopsis thaliana protein match is: vegetative storage protein 2 (TAIR:AT5G24770.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).",16.05,-3.68,0,0,,#N/A,#N/A
AT5G14750,"Encodes a MyB-related protein containing R2 and R3 repeats, involved in  root and hypocotyl epidermal cell fate determination. Loss of function mutations make extra root hairs. Nuclear localized protein is a positive regulator for expression of CAPRICE (CPC).myb domain protein 66 (MYB66); CONTAINS InterPro DOMAIN/s: SANT, DNA-binding (InterPro:IPR001005), Myb, DNA-binding (InterPro:IPR014778), Homeodomain-like (InterPro:IPR009057), Homeodomain-related (InterPro:IPR012287), Myb transcription factor (InterPro:IPR015495), HTH transcriptional regulator, Myb-type, DNA-binding (InterPro:IPR017930); BEST Arabidopsis thaliana protein match is: myb domain protein 23 (TAIR:AT5G40330.1); Has 9181 Blast hits to 8410 proteins in 556 species: Archae - 0; Bacteria - 0; Metazoa - 822; Fungi - 534; Plants - 5944; Viruses - 3; Other Eukaryotes - 1878 (source: NCBI BLink).",19.48,-3.78,3.77038E-09,1.3334E-06,246585_at,#N/A,#N/A
AT3G44860,"Encodes a farnesoic acid carboxyl-O-methyltransferase.farnesoic acid carboxyl-O-methyltransferase (FAMT); FUNCTIONS IN: S-adenosylmethionine-dependent methyltransferase activity, farnesoic acid O-methyltransferase activity; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: leaf; EXPRESSED DURING: seedling growth; CONTAINS InterPro DOMAIN/s: SAM dependent carboxyl methyltransferase (InterPro:IPR005299); BEST Arabidopsis thaliana protein match is: S-adenosyl-L-methionine-dependent methyltransferases superfamily protein (TAIR:AT3G44870.1); Has 885 Blast hits to 875 proteins in 112 species: Archae - 0; Bacteria - 44; Metazoa - 9; Fungi - 5; Plants - 718; Viruses - 0; Other Eukaryotes - 109 (source: NCBI BLink).",19.25,-4.24,3.613E-12,2.20718E-09,,#N/A,#N/A
AT4G15210,"cytosolic beta-amylase expressed in rosette leaves and inducible by sugar. RAM1 mutants have reduced beta amylase in leaves and stems.beta-amylase 5 (BAM5); FUNCTIONS IN: beta-amylase activity; INVOLVED IN: response to herbivore, starch catabolic process; LOCATED IN: endomembrane system; EXPRESSED IN: 19 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Glycoside hydrolase, family 14, conserved site (InterPro:IPR018238), Glycoside hydrolase, family 14 (InterPro:IPR001554), Glycoside hydrolase, catalytic core (InterPro:IPR017853), Glycoside hydrolase, family 14B, plant (InterPro:IPR001371), Glycoside hydrolase, subgroup, catalytic core (InterPro:IPR013781); BEST Arabidopsis thaliana protein match is: beta-amylase 6 (TAIR:AT2G32290.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).",18.69,-4.52,0,2.5E-14,245275_at,#N/A,#N/A
AT3G43340,"Pseudouridine synthase family protein; FUNCTIONS IN: pseudouridine synthase activity, RNA binding; INVOLVED IN: pseudouridine synthesis, RNA modification; LOCATED IN: cellular_component unknown; CONTAINS InterPro DOMAIN/s: Pseudouridine synthase, catalytic domain (InterPro:IPR020103); BEST Arabidopsis thaliana protein match is: pseudouridine synthase family protein (TAIR:AT2G39140.1); Has 1058 Blast hits to 1058 proteins in 413 species: Archae - 0; Bacteria - 872; Metazoa - 0; Fungi - 0; Plants - 35; Viruses - 0; Other Eukaryotes - 151 (source: NCBI BLink).",34.18,-31.67,6.83615E-07,0.000156241,,#N/A,#N/A
